"","transaction_id","trans_group_en","property_usage_en","procedure_name_en","property_sub_type_en","instance_date","area_id","area_name_en","procedure_area","actual_worth","meter_sale_price"
"98","1-11-2023-14613","Sales","Commercial","Sell","Office","2023-05-16","526","Business Bay","57.6","735000.0","12760.42"
"487","1-11-2023-43143","Sales","Commercial","Sell","Office","2023-12-28","343","Al Warsan First","121.64","785592.0","6458.34"
"561","1-11-2023-32714","Sales","Commercial","Sell","Office","2023-10-13","526","Business Bay","131.49","1789867.0","13612.19"
"661","1-11-2023-20579","Sales","Commercial","Sell","","2023-06-26","410","Palm Jumeirah","1244.7","47000000.0","37760.1"
"820","1-11-2023-19692","Sales","Commercial","Sell","","2023-06-22","350","Al Thanyah Fifth","1001.95","24000000.0","23953.29"
"828","1-11-2023-32645","Sales","Commercial","Sell","Shop","2023-10-11","343","Al Warsan First","38.0","430000.0","11315.79"
"956","1-11-2023-12246","Sales","Commercial","Sell","Office","2023-04-27","350","Al Thanyah Fifth","173.23","1678167.0","9687.51"
"1655","1-11-2023-23037","Sales","Commercial","Sell","Shop","2023-07-20","343","Al Warsan First","66.0","600000.0","9090.91"
"1763","1-11-2023-13938","Sales","Commercial","Sell","Office","2023-05-10","526","Business Bay","94.83","638643.0","6734.61"
"1923","1-11-2023-17529","Sales","Commercial","Sell","","2023-06-06","343","Al Warsan First","154.0","2000000.0","12987.01"
"2080","1-11-2023-35987","Sales","Commercial","Sell","Office","2023-11-07","526","Business Bay","107.17","2060000.0","19221.8"
"2183","1-11-2023-9848","Sales","Commercial","Sell","Office","2023-04-04","350","Al Thanyah Fifth","117.06","492924.0","4210.87"
"2242","1-11-2023-18515","Sales","Commercial","Sell","Office","2023-06-13","526","Business Bay","49.24","650000.0","13200.65"
"2304","1-11-2023-34464","Sales","Commercial","Sell","Office","2023-10-25","526","Business Bay","76.98","1232477.0","16010.35"
"2329","1-11-2023-37678","Sales","Commercial","Sell","Shop","2023-11-17","409","Al Barshaa South Third","51.22","820000.0","16009.37"
"2829","1-11-2023-43343","Sales","Commercial","Sell","","2023-12-28","343","Al Warsan First","154.0","1640000.0","10649.35"
"2862","1-11-2023-16916","Sales","Commercial","Sell","Shop","2023-06-01","343","Al Warsan First","43.0","388794.0","9041.72"
"2937","1-11-2023-34201","Sales","Commercial","Sell","Office","2023-10-25","444","Al Hebiah First","342.6","2046840.0","5974.43"
"3022","1-11-2023-445","Sales","Commercial","Sell","Office","2023-01-05","350","Al Thanyah Fifth","120.03","775000.0","6456.72"
"3202","1-11-2023-619","Sales","Commercial","Sell","Shop","2023-01-10","350","Al Thanyah Fifth","72.07","2050000.0","28444.57"
"3237","1-11-2023-23038","Sales","Commercial","Sell","Shop","2023-07-20","343","Al Warsan First","69.0","650000.0","9420.29"
"3325","1-11-2023-5007","Sales","Commercial","Sell","","2023-02-22","410","Palm Jumeirah","639.27","29500000.0","46146.39"
"3815","1-11-2023-20475","Sales","Commercial","Sell","","2023-06-26","350","Al Thanyah Fifth","840.84","7600000.0","9038.58"
"4106","1-11-2023-15586","Sales","Commercial","Sell","Office","2023-05-23","526","Business Bay","81.46","964000.0","11834.03"
"4543","1-11-2023-25398","Sales","Commercial","Sell","Office","2023-08-11","350","Al Thanyah Fifth","206.18","1730480.0","8393.05"
"4634","1-11-2023-9651","Sales","Commercial","Sell","","2023-03-31","445","Jabal Ali First","607.08","3750000.0","6177.11"
"4868","1-11-2023-19555","Sales","Commercial","Sell","","2023-06-20","435","Al Hebiah Fourth","249.6","3580000.0","14342.95"
"4985","1-11-2023-41752","Sales","Commercial","Sell","Office","2023-12-15","350","Al Thanyah Fifth","134.97","1191296.0","8826.38"
"5018","1-11-2023-16402","Sales","Commercial","Sell","","2023-05-30","240","Port Saeed","420.01","4200000.0","9999.76"
"5391","1-11-2023-20891","Sales","Commercial","Sell","","2023-07-06","301","Al Nahda Second","3114.76","90000000.0","28894.68"
"5496","1-11-2023-25655","Sales","Commercial","Sell","","2023-08-14","435","Al Hebiah Fourth","758.78","5848400.0","7707.64"
"5691","1-11-2023-21056","Sales","Commercial","Sell","","2023-07-05","352","Al Thanayah Fourth","550.54","7200000.0","13078.07"
"5999","1-11-2023-9652","Sales","Commercial","Sell","Office","2023-04-03","526","Business Bay","26.86","360000.0","13402.83"
"7214","1-11-2023-41553","Sales","Commercial","Sell","Office","2023-12-14","350","Al Thanyah Fifth","163.47","1156050.0","7071.94"
"7348","1-11-2023-20296","Sales","Commercial","Sell","Office","2023-06-26","350","Al Thanyah Fifth","114.55","1000000.0","8729.81"
"7360","1-11-2023-17674","Sales","Commercial","Sell","","2023-06-07","410","Palm Jumeirah","127.0","526300.0","4144.09"
"8019","1-11-2023-6666","Sales","Commercial","Sell","Office","2023-03-08","526","Business Bay","80.36","655728.0","8159.88"
"8152","1-11-2023-18492","Sales","Commercial","Sell","","2023-06-15","485","Me'Aisem First","743.3","8300000.0","11166.42"
"8494","1-11-2023-36237","Sales","Commercial","Sell","Office","2023-11-08","526","Business Bay","53.29","750000.0","14073.94"
"8747","1-11-2023-24381","Sales","Commercial","Sell","Office","2023-08-02","443","Al Thanyah First","135.36","700000.0","5171.39"
"8805","1-11-2023-39166","Sales","Commercial","Sell","Office","2023-11-30","526","Business Bay","61.88","1307495.0","21129.52"
"8832","1-11-2023-17685","Sales","Commercial","Sell","Office","2023-06-07","350","Al Thanyah Fifth","59.27","775000.0","13075.76"
"8861","1-11-2023-1573","Sales","Commercial","Sell","Shop","2023-01-19","330","Marsa Dubai","105.52","1780660.0","16875.09"
"9002","1-11-2023-11146","Sales","Commercial","Sell","Office","2023-04-14","350","Al Thanyah Fifth","176.05","1217102.0","6913.39"
"9207","1-11-2023-14532","Sales","Commercial","Sell","Office","2023-05-16","526","Business Bay","77.71","800000.0","10294.69"
"9376","1-11-2023-25322","Sales","Commercial","Sell","Shop","2023-08-10","343","Al Warsan First","66.0","500000.0","7575.76"
"9431","1-11-2023-41517","Sales","Commercial","Sell","","2023-12-14","350","Al Thanyah Fifth","510.0","5900000.0","11568.63"
"9628","1-11-2023-27094","Sales","Commercial","Sell","","2023-08-28","350","Al Thanyah Fifth","703.97","4800000.0","6818.47"
"9761","1-11-2023-410","Sales","Commercial","Sell","Office","2023-01-06","526","Business Bay","73.98","788491.0","10658.17"
"10116","1-11-2023-3454","Sales","Commercial","Sell","","2023-02-07","485","Me'Aisem First","898.9","13500000.0","15018.36"
"10293","1-11-2023-27586","Sales","Commercial","Sell","Office","2023-09-04","526","Business Bay","80.36","940000.0","11697.36"
"10367","1-11-2023-37910","Sales","Commercial","Sell","Office","2023-11-20","443","Al Thanyah First","148.09","800000.0","5402.12"
"10744","1-11-2023-36205","Sales","Commercial","Sell","","2023-11-08","485","Me'Aisem First","1327.0","13200000.0","9947.25"
